Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Flynn Downes,5.6,4.2,M,WHU,@LUT,0%,79,0
Diego Carlos,5.5,8.1,D,AVL,@LIV,12%,89,1
Mads Bech Sorensen,5.5,5.3,D,BRF,BOU,0%,79,0
Joao Gomes,5.5,5.0,M,WOL,@CRY,18%,81,1
Mohamed Elneny,5.5,4.5,M,ARS,MUN,0%,90,0
Billy Gilmour,5.4,4.6,M,BHA,NEW,8%,79,1
Boubacar Traore,5.4,4.6,M,WOL,@CRY,1%,81,0
Valentino Livramento,5.3,7.4,D,NEW,@BHA,10%,78,0
Chris Basham,5.3,5.5,D,SHU,EVE,0%,79,0
Nicolo Zaniolo,5.3,3.1,M,AVL,@LIV,41%,71,0
Leander Dendoncker,5.2,4.8,M,AVL,@LIV,0%,83,0
Alfie Doughty,5.2,3.5,M,LUT,WHU,20%,75,1
Elijah Adebayo,5.2,2.9,F,LUT,WHU,14%,64,1
Anel Ahmedhodzic,5.1,5.9,D,SHU,EVE,19%,90,1
Lewis O'Brien,5.1,3.8,M,NOT,@CHE,0%,77,0
Marcos Senesi,5.0,7.6,D,BOU,@BRF,3%,82,1
Diogo Dalot,5.0,7.3,D,MUN,@ARS,85%,89,1
Ameen Al Dakhil,5.0,7.2,D,BUR,TOT,1%,90,1
Harry Wilson,5.0,3.7,M,FUL,@MCI,84%,76,0
Hwang Hee-Chan,5.0,2.7,F,WOL,@CRY,18%,68,0
Neco Williams,4.9,8.4,D,NOT,@CHE,15%,86,0
Igor Julio dos Santos de Paulo,4.9,6.9,D,BHA,NEW,1%,80,0
Marvelous Nakamba,4.9,4.5,M,LUT,WHU,4%,82,1
Jack Cork,4.9,3.7,M,BUR,TOT,0%,84,0
Wataru Endo,4.9,3.6,M,LIV,AVL,25%,57,1
Adam Lallana,4.9,3.6,M,BHA,NEW,1%,55,0
Jacob Bruun Larsen,4.9,2.4,F,BUR,TOT,0%,75,0
Jay Stansfield,4.9,2.0,F,FUL,@MCI,0%,76,0
Orel Mangala,4.8,4.4,M,NOT,@CHE,1%,76,0
Leon Bailey,4.8,2.5,F,AVL,@LIV,75%,65,0
Sean Longstaff,4.7,3.5,M,NEW,@BHA,2%,87,0
Illia Zabarnyi,4.6,8.0,D,BOU,@BRF,4%,90,1
Joel Veltman,4.6,5.6,D,BHA,NEW,15%,82,1
Bruno Guimaraes,4.6,3.0,M,NEW,@BHA,96%,86,1
Gonzalo Montiel,4.5,7.2,D,NOT,@CHE,2%,70,0
Alvaro Fernandez,4.5,6.7,D,MUN,@ARS,1%,70,0
Steven Alzate,4.5,4.4,M,BHA,NEW,0%,62,0
Remo Freuler,4.5,3.9,M,NOT,@CHE,0%,85,0
Vinicius de Souza Costa,4.5,3.7,M,SHU,EVE,2%,68,1
Aaron Wan-Bissaka,4.4,6.8,D,MUN,@ARS,98%,86,1
Hjalmar Ekdal,4.4,5.7,D,BUR,TOT,0%,85,0
Nathaniel Clyne,4.3,3.2,D,CRY,WOL,0%,86,0
Ben Osborn,4.3,3.1,M,SHU,EVE,1%,77,0
Harry Maguire,4.2,7.7,D,MUN,@ARS,9%,90,0
Lewis Cook,4.2,3.9,M,BOU,@BRF,0%,85,1
George Baldock,4.2,3.7,D,SHU,EVE,3%,86,0
Raul Jimenez,4.2,2.1,F,FUL,@MCI,43%,77,1
Dan Burn,4.1,5.7,D,NEW,@BHA,84%,88,1
Sergio Gomez,4.1,3.6,D,MCI,FUL,1%,77,0
Bobby De Cordova-Reid,4.1,3.0,F,FUL,@MCI,26%,79,1
Pau Torres,4.0,7.9,D,AVL,@LIV,82%,90,1
Charlie Taylor,4.0,5.9,D,BUR,TOT,1%,90,0
Adam Webster,4.0,5.2,D,BHA,NEW,14%,85,1
Auston Trusty,4.0,4.2,D,SHU,EVE,1%,80,0
Sander Berge,4.0,2.4,M,BUR,TOT,10%,84,0
Andreas Pereira,4.0,2.2,M,FUL,@MCI,91%,80,1
Sven Botman,3.9,5.6,D,NEW,@BHA,98%,89,0
Carlos Vinicius,3.9,2.0,F,FUL,@MCI,13%,85,0
Max Aarons,3.8,6.1,D,BOU,@BRF,5%,85,1
Pelly Ruddock,3.8,2.9,M,LUT,WHU,1%,87,1
William Osula,3.8,1.4,F,SHU,EVE,1%,82,0
Willy Boly,3.7,6.9,D,NOT,@CHE,6%,83,1
Ryan Yates,3.7,2.8,M,NOT,@CHE,1%,83,1
James Milner,3.7,2.3,M,BHA,NEW,8%,73,0
Harrison Reed,3.6,3.0,M,FUL,@MCI,6%,82,1
Tariq Lamptey,3.5,4.2,D,BHA,NEW,4%,72,0
Victor Lindelof,3.4,6.2,D,MUN,@ARS,2%,90,1
Joao Palhinha,3.4,2.8,M,FUL,@MCI,32%,89,1
Mario Lemina,3.4,2.5,M,WOL,@CRY,4%,77,1
Jonny Evans,3.3,6.2,D,MUN,@ARS,0%,80,0
Reece Burke,3.2,4.5,D,LUT,WHU,0%,76,0
Tom Davies,3.2,2.2,M,SHU,EVE,0%,66,0
Ross Barkley,3.2,1.4,M,LUT,WHU,10%,76,0
